NAME,SYMBOL,PRICE,QUANTITY,MARKET_CAP,MARKET_CAP_PERCENTAGE
THE LIGHTHOUSE HOTEL PLC,LHL.N0000,58,46000000,2668000000,0.10401879141496959496158178210
RICHARD PIERIS EXPORTS PLC,REXP.N0000,236.4,11163745,2639109318,0.10289241441916966369932396296
VALLIBEL FINANCE PLC,VFIN.N0000,63.3,41550600,2630152980,0.10254322871667192533643077575
HARISCHANDRA MILLS PLC,HARI.N0000,2700.2,959800,2591651960,0.10104216815870956676258978646
CEYLON HOSPITALS PLC (DURDANS),CHL.N0000,100,25527272,2552727200,0.09952458701503724596379788988
ASSOCIATED MOTOR FINANCE COMPANY PLC,AMF.N0000,450.2,5608355,2524881421,0.09843894823033396986446516132
ALLIANCE FINANCE COMPANY PLC,ALLI.N0000,1037,2430000,2519910000,0.09824512469059071665653656242
RENUKA FOODS PLC,COCO.N0000,21.3,117960106,2512550257.8,0.09795818635147162016487402088
SOFTLOGIC FINANCE PLC,CRL.N0000,41.1,59070988,2427817606.8,0.09465466762943023528275592960
SEYLAN DEVELOPMENTS PLC,CSD.N0000,16.3,147964860,2411827218,0.09403124149853388372218088696
CEYLON LEATHER PRODUCTS PLC,CLPL.N0000,70,34234069,2396384830,0.09342918057787382769009708225
ORIENT FINANCE PLC,BFN.N0000,15.7,148018370,2323888409,0.09060272252152794258569891444
LANKA VENTURES PLC,LVEN.N0000,45,50000000,2250000000,0.08772199425925097026370277726
HUNTERS & COMPANY PLC,HUNT.N0000,436.2,5145000,2244249000,0.08749777684192432478370875296
RENUKA HOLDINGS PLC,RHL.N0000,24.5,89034626,2181348337,0.08504543390921806704460644651
RENUKA CITY HOTEL PLC,RENU.N0000,311,7000000,2177000000,0.08487590288995082767292486493
KELANI VALLEY PLANTATIONS PLC,KVAL.N0000,63,34000000,2142000000,0.08351133853480692369104504395
LEE HEDGES PLC,SHAW.N0000,405,5120546,2073821130,0.08085321122692149338038599623
EAST WEST PROPERTIES PLC,EAST.N0000,14.8,138240000,2045952000,0.07976666204386801827242809980
J.L. MORISON SONS & JONES (CEYLON) PLC,MORI.N0000,345.6,5808290,2007345024,0.07826147052073955605600699455
ABANS FINANCE PLC,AFSL.N0000,45.2,44400000,2006880000,0.07824334037289137209014214650
SWISSTEK (CEYLON) PLC,PARQ.N0000,73,27372000,1998156000,0.07790321296048350299477301627
SERENDIB HOTELS PLC,SHOT.N0000,26.1,75514738,1970934661.8,0.07684191959456815671022795116
C. W. MACKIE PLC,CWM.N0000,54,35988556,1943382024,0.07576770966793756947335045200
SIERRA CABLES PLC,SIRA.N0000,3.4,537512430,1827542262,0.07125140080697890338729871558
SATHOSA MOTORS PLC,SMOT.N0000,302,6033622,1822153844,0.07104131957459559467854920411
NAMUNUKULA PLANTATIONS PLC,NAMU.N0000,74.9,23750000,1778875000,0.06935398335018891987904190129
THE FORTRESS RESORTS PLC,RHTL.N0000,16,110886684,1774186944,0.06917120751840267673830831311
SWADESHI INDUSTRIAL WORKS PLC,SWAD.N0000,13500,130666,1763991000,0.06877369261127572368286192256
LANKEM CEYLON PLC,LCEY.N0000,73,24000000,1752000000,0.06830619286320342217866989589
RENUKA AGRI FOODS PLC,RAL.N0000,3.1,561750000,1741425000,0.06789389949018494261843049284
EQUITY TWO PLC,ETWO.N0000,56,31000000,1736000000,0.06768239201513763750123912059
AGSTAR PLC,AGST.N0000,5.6,307526310,1722147336,0.06714231054318948968668931349
EDEN HOTEL LANKA PLC,EDEN.N0000,15.9,105600000,1679040000,0.06546166099602344404958556050
REGNIS(LANKA) PLC,REG.N0000,147.2,11267863,1658629433.6,0.06466590295665950594166034670
BROWNS CAPITAL PLC,FLCH.N0000,1.2,1368000000,1641600000,0.06400196701154950790439754629
AMANA TAKAFUL  PLC,ATL.N0000,0.9,1800001296,1620001166.4,0.06315988134174252258556898433
BOGALA GRAPHITE LANKA PLC,BOGA.N0000,16.9,94632904,1599296077.6,0.06235264059469768633632626192
PANASIAN POWER PLC,PAP.N0000,3.1,500000000,1550000000,0.06043070715637289062610635767
PALM GARDEN HOTELS PLC,PALM.N0000,35.6,43267000,1540305200,0.06005273062750863004543411514
ELPITIYA PLANTATIONS PLC,ELPL.N0000,20.2,72866428,1471901845.6,0.05738585122217960355765992735
NATION LANKA FINANCE PLC,CSF.N0000,1.9,753489783,1431630587.7,0.05581577342026110787574223599
ROYAL PALMS BEACH HOTELS PLC,RPBH.N0000,28.6,50000000,1430000000,0.05575220079587950554537554288
C M HOLDINGS PLC,COLO.N0000,93.5,15200000,1421200000,0.05540911032944332397278861646
PEOPLE`S MERCHANT FINANCE PLC,PMB.N0000,20.5,67500000,1383750000,0.05394902646943934671217720801
DOLPHIN HOTELS PLC,STAF.N0000,43.5,31621477,1375534249.5,0.05362871446135204080614631858
KEGALLE PLANTATIONS PLC,KGAL.N0000,55,25000000,1375000000,0.05360788538065337071670725277
TANGERINE BEACH HOTELS PLC,TANG.N0000,67.4,20000000,1348000000,0.05255522144954235907354281944
ASIA ASSET FINANCE PLC,AAF.N0000,1.6,839207833,1342732532.8,0.05234985579288494005912849512
ARPICO FINANCE COMPANY PLC,ARPI.N0000,176,7437500,1309000000,0.05103470688238200892230530463
RESUS ENERGY PLC,HPWR.N0000,22.2,58390263,1296263838.6,0.05053815511473058945546747391
MADULSIMA PLANTATIONS PLC,MADU.N0000,7.6,169501097,1288208337.2,0.05022409082692339472039608898
ASIA CAPITAL PLC,ACAP.N0000,9.7,131329995,1273900951.5,0.04966628086859437719832407727
COLOMBO CITY HOLDINGS PLC,PHAR.N0000,1000.8,1272857,1273875285.6,0.04966528021795772897188954786
DANKOTUWA PORCELAIN PLC,DPL.N0000,7.8,162552920,1267912776,0.04943281655889020506121992904
LANKA ALUMINIUM INDUSTRIES PLC,LALU.N0000,90,13702823,1233254070,0.04808155842166128632407129925
LANKA CEMENT PLC,LCEM.N0000,7.1,173510748,1231926310.8,0.04802979233947458958590394024
SINHAPUTHRA FINANCE PLC,SFL.N0000,19.1,62958930,1202515563,0.04688313925073153265109013496
CITRUS LEISURE  PLC,REEF.N0000,12,96650427,1159805124,0.04521796374639015987280627212
WASKADUWA BEACH RESORT PLC,CITW.N0000,5.5,201746915,1109608032.5,0.04326090198088167290578810882
GUARDIAN CAPITAL PARTNERS PLC,WAPO.N0000,42,25833808,1085019936,0.04230227226531771340598252911
CENTRAL INDUSTRIES PLC,CIND.N0000,53.5,19768428,1057610898,0.04123366094350100598576266269
ON'ALLY HOLDINGS PLC,ONAL.N0000,60,17500770,1050046200,0.04093873187926590940965071075
CONVENIENCE  FOODS (LANKA )PLC,SOY.N0000,380.3,2750000,1045825000,0.04077415762052495376712753645
PEGASUS HOTELS OF CEYLON PLC,PEG.N0000,34.2,30391538,1039390599.6,0.04052329609388027725745413323
COMMERCIAL DEVELOPMENT COMPANY PLC,COMD.N0000,86,12000000,1032000000,0.04023515470024311169428500717
E-CHANNELLING PLC,ECL.N0000,8.4,122131415,1025903886,0.03999748213254900526346805508
CHEMANEX PLC,CHMX.N0000,64.2,15750000,1011150000,0.03942226422010738603650802810
CARGO BOAT DEVELOPMENT COMPANY PLC,CABO.N0000,99,10200036,1009803564,0.03936976997519074210788670414
ADAM INVESTMENTS PLC,AINV.N0000,2.2,449276200,988407640,0.03853559525416879986046961766
MAHAWELI REACH HOTELS PLC,MRH.N0000,21,47066447,988395387,0.03853511753968184048174133270
ANILANA HOTELS AND PROPERTIES PLC,ALHP.N0000,2,493308514,986617028,0.03846578367390900168341813794
MILLENNIUM HOUSING DEVELOPERS PLC,MHDL.N0000,7.2,134681320,969705504,0.03780644473557869723646796201
AITKEN SPENCE PLANTATION MANAGEMENTS PLC,ASPM.N0000,45.5,21300000,969150000,0.03778478699393470125825224292
ACL PLASTICS PLC,APLA.N0000,227,4212500,956237500,0.03728136021576911096779443754
SMB LEASING PLC,SEMB.N0000,0.8,1191766772,953413417.6,0.03717125615351113243343681693
CEYLON & FOREIGN TRADES PLC,CFT.N0000,6.5,140196000,911274000,0.03552834337626874163381577095
THE AUTODROME PLC,AUTO.N0000,75,12000000,900000000,0.03508879770370038810548111090
HIKKADUWA BEACH RESORT PLC,CITH.N0000,15.5,57573897,892395403.5,0.03479231309458175698499712947
SWARNAMAHAL FINANCIAL SERVICES PLC,SFS.N0000,1.7,500000140,850000238,0.03313942933253242596705701486
AMANA TAKAFUL LIFE PLC,ATLL.N0000,1.7,500000000,850000000,0.03313942005349481098850993807
ARPICO INSURANCE PLC,AINS.N0000,12.8,66230407,847749209.6,0.03305166724347366556848317022
EASTERN MERCHANTS PLC,EMER.N0000,7.1,117446000,833866600,0.03251041826585827783133108368
KELSEY DEVELOPMENTS PLC,KDL.N0000,47.6,17429274,829633442.4,0.03234537780955352022462923149
BOGAWANTALAWA TEA ESTATES PLC,BOPL.N0000,9.9,83750000,829125000,0.03232555488453398254217447342
SINGHE HOSPITALS PLC,SINH.N0000,2,398225895,796451790,0.03105170637784451525589459954
BERUWALA RESORTS PLC,BERU.N0000,1.3,600000000,780000000,0.03041029134320700302475029611
HAYLEYS FIBRE PLC,HEXP.N0000,96.8,8000000,774400000,0.03019196104638397838764952476
UNION CHEMICALS LANKA PLC,UCAR.N0000,515,1500000,772500000,0.03011788469567616645720462019
TALAWAKELLE TEA ESTATES  PLC,TPL.N0000,32,23750000,760000000,0.02963054028312477217796182698
HAPUGASTENNE PLANTATIONS PLC,HAPU.N0000,16.3,46315789,754947360.7,0.02943355024060536513755404209
BROWNS HYDRO POWER PLC,HPFL.N0000,6.8,109088112,741799161.6,0.02892093413128550346026722270
KALPITIYA BEACH RESORT PLC,CITK.N0000,4.6,161200010,741520046,0.02891005209703622906466022912
SUMMIT FINANCE PLC,GSF.N0000,31.5,22500000,708750000,0.02763242819166405563306637483
CHILAW FINANCE PLC,CFL.N0000,20.6,33901337,698367542.2,0.02722764156787360431823439752
TEA SMALLHOLDER FACTORIES PLC,TSML.N0000,23,30000000,690000000,0.02690141157283696421420218502
SINGER INDUSTRIES (CEYLON) PLC,SINI.N0000,179.1,3846300,688872330,0.02685744647894081775125228737
MARAWILA RESORTS PLC,MARA.N0000,2.8,228000000,638400000,0.02488965383782480862948793466
ASIA SIYAKA COMMODITIES PLC,ASIY.N0000,2.4,260000000,624000000,0.02432823307456560241980023689
ABANS ELECTRICALS PLC,ABAN.N0000,120,5110560,613267200,0.02390978746568307405817967282
SERENDIB LAND PLC,SLND.N0000,1661.2,360000,598032000,0.02331580429815483388833008857
HOTEL SIGIRIYA PLC,HSIG.N0000,102,5859000,597618000,0.02329966345121113170980156726
MALWATTE VALLEY PLANTATIONS PLC,MAL.N0000,2.9,202792331,588097759.9,0.02292849258570051353954894026
SIGIRIYA VILLAGE HOTELS PLC,SIGV.N0000,65,9000000,585000000,0.02280771850740525226856272208
COLOMBO INVESTMENT TRUST PLC,CIT.N0000,90,6500000,585000000,0.02280771850740525226856272208
RAIGAM WAYAMBA SALTERNS PLC,RWSL.N0000,2,282207320,564414640,0.02200514569329653468935044804
BANSEI ROYAL RESORTS HIKKADUWA PLC,BRR.N0000,10.5,53728000,564144000,0.02199459410195150194153170647
ALUFAB PLC,ALUF.N0000,45.1,12058200,543824820,0.02120239899470141877265934016
COLOMBO TRUST FINANCE PLC,CALF.N0000,11.5,46519243,534971294.5,0.02085722169999691562771292494
LUCKY LANKA MILK PROCESSING COMPANY PLC,LLMP.N0000,3,176028410,528085230,0.02058875089531343478196917412
RAMBODA FALLS PLC,RFL.N0000,26.1,20000000,522000000,0.02035150266814622510117904432
COLOMBO FORT INVESTMENTS PLC,CFI.N0000,80,6500000,520000000,0.02027352756213800201650019741
AGALAWATTE PLANTATIONS PLC,AGAL.N0000,20,25000000,500000000,0.01949377650205577116971172828
HORANA PLANTATIONS PLC,HOPL.N0000,19.5,25000000,487500000,0.01900643208950437689046893507
LAXAPANA BATTERIES PLC,LITE.N0000,12.5,39000000,487500000,0.01900643208950437689046893507
THE FINANCE COMPANY PLC,TFC.N0000,8.1,57966232,469526479.2,0.01830568849464387559871122691
HVA FOODS PLC,HVA.N0000,7,66428660,465000620,0.01812923631919472973698815774
MASKELIYA PLANTATIONS PLC,MASK.N0000,8.5,53953489,458604656.5,0.01787987335322611696225650070
AMW CAPITAL LEASING AND FINANCE PLC,AMCL.N0000,22.4,20000000,448000000,0.01746642374584197096806170853
STANDARD CAPITAL PLC,SING.N0000,80.4,5540828,445482571.2,0.01736827535706789405296402455
CEYLON TEA BROKERS PLC,CTBL.N0000,3.9,114000000,444600000,0.01733386606562799172410766878
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC,BLUE.N0000,2.1,206601782,433863742.2,0.01691528564558468574559600345
ASCOT HOLDINGS  PLC,ASCO.N0000,34,12657555,430356870,0.01677856127980854049206675637
ADAM CAPITAL PLC,PCHH.N0000,1.7,252000242,428400411.4,0.01670228374644069062969752723
SAMSON INTERNATIONAL PLC,SIL.N0000,100,4232771,423277100,0.01650253837167662171795837636
TESS AGRO PLC,TESS.N0000,1.5,280000000,420000000,0.01637477226172684778255785175
MULTI FINANCE PLC,MFL.N0000,18.4,22462039,413301517.6,0.01611361482410973948856036890
KOTAGALA PLANTATIONS PLC,KOTA.N0000,10.2,40000000,408000000,0.01590692162567750927448477027
LAKE HOUSE PRINTERS AND PUBLISHERS PLC,LPRT.N0000,130,2937245,381841850,0.01488707936606300893323878058
UDAPUSSELLAWA PLANTATIONS PLC,UDPL.N0000,18.5,19398850,358878725,0.01399180331298547007255580732
MULLER AND PHIPPS (CEYLON) PLC,MULL.N0000,1.2,283000000,339600000,0.01324017300019627977846820584
BALANGODA PLANTATIONS PLC,BALA.N0000,14,23636363,330909082,0.01290133537401689270114274842
HUNAS FALLS HOTELS PLC,HUNA.N0000,56,5625000,315000000,0.01228107919629513583691838881
MACKWOODS ENERGY PLC,MEL.N0000,3.1,100000000,310000000,0.01208614143127457812522127153
ACME PRINTING & PACKAGING PLC,ACME.N0000,7.2,41161913,296365773.6,0.01155457630683452122611238648
GESTETNER OF CEYLON PLC,GEST.N0000,105,2657812,279070260,0.01088026655362118918966391227
LANKEM DEVELOPMENTS PLC,LDEV.N0000,4.5,60000000,270000000,0.01052663931111011643164433327
SERENDIB ENGINEERING GROUP PLC,IDL.N0000,7.5,32383250,242874375,0.00946907756865296327597350987
MERCANTILE SHIPPING COMPANY PLC,MSL.N0000,82.6,2844990,234996174,0.00916192578958841871900352165
INDUSTRIAL ASPHALTS (CEYLON) PLC,ASPH.N0000,320,666562,213299840,0.00831603881776851132315224897
YORK ARCADE HOLDINGS PLC,YORK.N0000,15.6,12000000,187200000,0.00729846992236968072594007106
CENTRAL INVESTMENTS & FINANCE PLC,CIFL.N0000,1.7,83426733,141825446.1,0.00552942709715551462644776934
CITY HOUSING & REAL ESTATE CO. PLC,CHOU.N0000,9.2,13379850,123094620,0.00479915802177096874188524140
OFFICE EQUIPMENT PLC,OFEQ.N0000,83,833560,69185480,0.00269737256861489903029333476
HUEJAY INTERNATIONAL INVESTMENTS PLC,HUEJ.N0000,38.4,1800000,69120000,0.00269481966364418980650094931
RADIANT GEMS INTERNATIONAL PLC,RGEM.N0000,27.9,2400000,66960000,0.00261060654915530887504779465
PARAGON CEYLON PLC,PARA.N0000,56.8,1000280,56815904,0.00221511306867651299484861852
KALAMAZOO SYSTEMS PLC,KZOO.N0000,975,50000,48750000,0.00190064320895043768904689350
CEYLON PRINTERS PLC,CPRT.N0000,74.9,600170,44952733,0.00175259706051717406500229801
ENTRUST SECURITIES PLC,ESL.N0000,0,33000014,,0
ORIENT GARMENTS PLC,OGL.N0000,0,54916656,,0
TRADE FINANCE & INVESTMENTS PLC,TFIL.N0000,0,56800400,,0
BRAC LANKA FINANCE PLC,NIFL.N0000,0,105752566,,0
PC PHARMA PLC,PCP.N0000,0,101000020,,0
VANIK INCORPORATION PLC,VANI.N0000,0,65481650,,0
EQUITY ONE PLC,EQIT.N0000,0,40321730,,0
TOUCHWOOD INVESTMENTS PLC,TWOD.N0000,0,106905600,,0
PELWATTE SUGAR INDUSTRIES PLC,SUGA.N0000,0,67976891,,0
PC HOUSE PLC,PCH.N0000,0,343400001,,0
DISTILLERIES COMPANY OF SRI LANKA PLC,DIST.N0000,0,300000000,,0
HOTEL DEVELOPERS (LANKA) PLC,HDEV.N0000,0,2046645686,,0
MIRAMAR BEACH HOTEL PLC,MIRA.N0000,0,2750000,,0
KOTMALE HOLDINGS PLC,LAMB.N0000,0,31400000,,0
METROPOLITAN RESOURCE HOLDINGS PLC,MPRH.N0000,0,17264802,,0
